id,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
20pc,pc,d,,,,1935,,,,,,,,,,,,,,,,,US
a2dc,dc,d,,,,2012,,,,,,,,,,,,,,,,,US
a2pc,pc,d,,,,2012,,,,,,,,,,,,,,,,,US
aba,a,m,,,,1997,,,,,,,,,,,,,,,,,EU
acd,d,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
acp,p,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
acs,s,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
ada,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
adc,c,m,,,,1961,,,,,,,,,,,,,,2,2,,EU
aea,a,m,,,,1968,,,,,,,,,,,,,,0,0,,US
aepc,pc,d,,,,1981,,,,,,,,,,,,,,,,,US
aha,a,m,,,,2004,,,,,,,,,,,,,,0,0,,US
aha2,a,m,,,,1986,,,,,,,,,,,,,,0,0,,US
ahpc,pc,d,,,,,,,,,,,,,,,,,,,,,US
ald,d,m,,,,1954,,,,,,,,,,,,,,2,2,,A
ama,a,m,,,,1978,,,,,,,,,,,,,,0,0,,US
amc,c,m,,,,1949,,,,,,,,,,,,,,8,4,,US
apa,a,f,,,,1971,,,,,,,,,,,,,,0,1,,US
apd,d,m,,,,1961,,,,,,,,,,,,,,2,2,,US
aps,s,m,,,,1961,,,,,,,,,,,,,,2,2,,US
arp,p,f,,,,1982,,,,,,,,,,,,,,1,0,,US
arpc,pc,d,,,,1991,,,,,,,,,,,,,,,,,EU
asa,a,m,,,,1995,,,,,,,,,,,,,,0,0,,US
asc,c,m,,,,1950,,,,,,,,,,,,,,0,0,,US
ass,s,m,,,,1961,,,,,,,,,,,,,,1,3,,US
avatar,m,d,1,1,,2009,jcd,jcp,jcs,swa,zsa,swa1,jhc,20pc,lepc,depc,impc,wddc,"2,905",3,2,science-fiction,US
avengers,m,d,1,7,,2012,jwd,jwp,zps,rda,jra,sja,asc,mspc,,,,wddc,"1,519",0,0,action,US
avengers2,m,d,1,11,,2015,jwd,kfp,jws,rda,cea,mra2,dec,mspc,wdpc,,,wddc,"1,4",0,0,action,US
avengers3,m,d,1,4,,2018,jrd,kfp,jks,rda,sja,jra,asc,mspc,wdpc,,,wddc,"2,048",0,0,science-fiction,US
avengers4,m,d,1,2,,2019,jrd,slp,cms,rda,sja,jra,asc,wdpc,mspc,,,wddc,"2,798",0,0,action,EU
aga,a,m,,,,1983,,,,,,,,,,,,,,0,1,,US
bba,a,m,,,,1941,,,,,,,,,,,,,,,2,,US
bbd,d,m,,,,1957,,,,,,,,,,,,,,2,0,,US
bbs,s,m,,,,1957,,,,,,,,,,,,,,0,0,,US
bcd,d,m,,,,1955,,,,,,,,,,,,,,1,0,,US
beauty,m,d,1,17,,2017,bcd,dhp,scs,ewa,dsa,lea1,amc,wdpc,,,,wddc,"1,274",2,3,adventure,US
bfpc,pc,d,,,,1985,,,,,,,,,,,,,,,,,US
bga,a,m,,,,1960,,,,,,,,,,,,,,0,0,,US
