id,name,type,sex,ranking,ranking_money,ranking_critics,director
20pc,20th Centuries Studios,pc,d,,,,
a2dc,A24,dc,d,,,,
a2pc,A24,pc,d,,,,
aba,Asa Butterfield,a,m,,,,
acd,Alfonso Cuaron,d,m,,,,
acp,Alfonso Cuaron,p,m,,,,
acs,Alfonso Cuaron,s,m,,,,
ada,Adam Driver,a,m,,,,
adc,Alexandre Desplat,c,m,,,,
aea,Aaron Eckhart,a,m,,,,
aepc,Amblin Entertainment,pc,d,,,,
aha,Alex R. Hibbert,a,m,,,,
aha2,Armie Hammer,a,m,,,,
ahpc,Ad Hominem Enterprises,pc,d,,,,
ald,Ang Lee,d,m,,,,
ama,Anthony Mackie,a,m,,,,
amc,Alan Menken,c,m,,,,
apa,Amy Poehler,a,f,,,,
apd,Alexander Payne,d,m,,,,
aps,Alexander Payne,s,m,,,,
arp,Adele Romanski,p,f,,,,
arpc,Arte,pc,d,,,,
asa,Ashton Sanders,a,m,,,,
asc,Alan Silvestri,c,m,,,,
ass,Aaron Sorkin,s,m,,,,
avatar,Avatar - Aufbruch nach Pandora,m,d,1,1,,jcd
avengers,Avengers 1: The Avengers,m,d,1,7,,jwd
avengers2,The Avengers : Age of Ultron,m,d,1,11,,jwd
avengers3,Avengers: Infinity War,m,d,1,4,,jrd
avengers4,Avengers 4: Endgame,m,d,1,2,,jrd
aga,Andrew Garfield,a,m,,,,
bba,Beau Bridges,a,m,,,,
bbd,Brad Bird,d,m,,,,
bbs,Brad Bird,s,m,,,,
bcd,Bill Condon,d,m,,,,
beauty,Beauty and the beast,m,d,1,17,,bcd
bfpc,Bedford Falls Productions,pc,d,,,,
bga,Brad Garrett,a,m,,,,
bha,Bryce Dallas Howard,a,f,,,,
bha1,Bill Hader,a,m,,,,
bjd,Barry Jenkins,d,m,,,,
bjs,Barry Jenkins,s,m,,,,
bka,Ben Kingsley,a,m,,,,
blp,Bradford Lewis,p,m,,,,
bpa,Brad Pitt,a,m,,,,
brokeback,Brokeback Mountain,m,d,2,,16,ald
brpc,Bad Robot,pc,d,,,,
brpc1,Bayerischer Rundfunk,pc,d,,,,
bta,Benicio Del Toro,a,m,,,,
btc,Brian Tyler,c,m,,,,
bvdc,Buena Vista Pictures,dc,d,,,,
cac,Craig Armstrong,c,m,,,,
cba,Chadwick Boseman,a,m,,,,
cba1,Christian Bale,a,m,,,,
cbc,Christophe Beck,c,m,,,,
cbc1,Carter Burwell,c,m,,,,
cbd,Chris Buck,d,m,,,,
cda,Daniel Craig,a,m,,,,
cea,Chris Evans,a,m,,,,
cea1,Chiwetel Ejiofor,a,m,,,,
cfa,Carrie Fisher,a,f,,,,
cfdc,Concorde Filmverleih GmbH,dc,d,,,,
cfpc,Creado Film,pc,d,,,,
cha,Cierán Hinds,a,m,,,,
cmc,Cliff Martinez,c,m,,,,
cmc1,Clint Mansell,c,m,,,,
cms,Christopher Markus,s,m,,,,
cms2,Chris Morgan,s,m,,,,
cna,Craig T. Nelson,a,m,,,,
cnd,Christopher Nolan,d,m,,,,
cnp,Christopher Nolan,p,m,,,,
copc,coop99,pc,d,,,,
country,No Country for Old Men,m,d,2,,20,jcd1
cpa,Chris Pratt,a,m,,,,
cppc,Columbia Pictures,pc,d,,,,
ctd,Colin Trevorrow,d,m,,,,
cts,Colin Trevorrow,s,m,,,,
dad,Darren Aronofsky,d,m,,,,
dap,Darren Aronofsky,p,m,,,,
dark,The Dark Knight,m,d,2,,10,cnd
dbp,Dana Brunetti,p,m,,,,
dca,Don Cheadle,a,m,,,,
dcpc,DC Comics,pc,d,,,,
dcpc1,DC Films,pc,d,,,,
dcs,Derek Connolly,s,m,,,,
dec,Danny Elfman,c,m,,,,
depc,Dune Entertainment,pc,d,,,,
descendants,The Descendants,m,d,2,,15,apd
dfd,David Fincher,d,m,,,,
dga,Donald Glover,a,m,,,,
dhp,David Hoberman,p,m,,,,
dhp1,David Heyman,p,m,,,,
dja,Dwayne Johnson,a,m,,,,
dmpc,DCM Filmdistribution,pc,d,,,,
dop,Diana Ossana,p,f,,,,
dppc,Dreamworks Pictures,pc,d,,,,
dps,Drew Pearce,s,m,,,,
dra,Daisy Ridley,a,f,,,,
dra1,Daniel Radcliffe,a,m,,,,
dsa,Dan Stevens,a,m,,,,
dyd,David Yates,d,m,,,,
eba,Eric Bana,a,m,,,,
ecp,Ethan Coen,p,f,,,,
efpc,Esperanto Filmoj,pc,d,,,,
eha,Ed Harris,a,m,,,,
ela,Evangeline Lilly,a,f,,,,
ewa,Emma Watson,a,f,,,,
ewa1,Evan Rachel Wood,a,f,,,,
fate,The Fate of the Furious,m,d,1,19,,fgd
fepc,Fairview Entertainment,pc,d,,,,
ffdc,Focus Features,dc,d,,,,
ffpc,Frenesy Film Company,pc,d,,,,
fgd,F. Gary Gray,d,m,,,,
fhd,Florian Henckel von Donnersmarck,d,m,,,,
fhs,Florian Henckel von Donnersmarck,s,m,,,,
flpc,First Light Production,pc,d,,,,
fma,Fred Melamed,a,f,,,,
fmp,Frank Marshall,p,m,,,,
frozen,Frozen,m,d,1,16,,cbd
frozen2,Frozen II,m,d,1,10,,cbd
fsdc,Fox Searchlight Pictures,dc,d,,,,
furious,Furious 7,m,d,1,8,,jwd2
gca,George Clooney,a,m,,,,
gjs,George Jonas,s,m,,,,
gkp,Graham King,p,m,,,,
gkpc,GK Films,pc,d,,,,
gls,George Lucas,s,m,,,,
gpa,Gwyneth Paltrow,a,f,,,,
gppc,Grosvenor Park Media,pc,d,,,,
gravity,Gravity,m,d,2,,12,acd
gsc,Gustavo Santaolalla,c,d,,,,
gts,Gary Scott Thompson,s,m,,,,
gun,Top Gun: Maverick,m,d,1,9,,jkd
