id,name,type,sex,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,golden_globe,genre,country
20pc,20th Centuries Studios,production_company,d,,,1935,,,,,,,,,,,,,,,,,US
a2dc,A24,distribution_company,d,,,2012,,,,,,,,,,,,,,,,,US
a2pc,A24,production_company,d,,,2012,,,,,,,,,,,,,,,,,US
aba,Asa Butterfield,actor,m,,,1997,,,,,,,,,,,,,,,,,EU
acd,Alfonso Cuaron,director,m,,,1961,,,,,,,,,,,,,,2,2,,SA
acp,Alfonso Cuaron,producer,m,,,1961,,,,,,,,,,,,,,2,2,,SA
acs,Alfonso Cuaron,screenplay,m,,,1961,,,,,,,,,,,,,,2,2,,SA
ada,Adam Driver,actor,m,,,1983,,,,,,,,,,,,,,0,0,,US
adc,Alexandre Desplat,composer,m,,,1961,,,,,,,,,,,,,,2,2,,EU
aea,Aaron Eckhart,actor,m,,,1968,,,,,,,,,,,,,,0,0,,US
aepc,Amblin Entertainment,production_company,d,,,1981,,,,,,,,,,,,,,,,,US
aha,Alex R. Hibbert,actor,m,,,2004,,,,,,,,,,,,,,0,0,,US
aha2,Armie Hammer,actor,m,,,1986,,,,,,,,,,,,,,0,0,,US
ahpc,Ad Hominem Enterprises,production_company,d,,,,,,,,,,,,,,,,,,,,
ald,Ang Lee,director,m,,,1954,,,,,,,,,,,,,,2,2,,A
ama,Anthony Mackie,actor,m,,,1978,,,,,,,,,,,,,,0,0,,US
amc,Alan Menken,composer,m,,,1949,,,,,,,,,,,,,,8,4,,US
apa,Amy Poehler,actor,f,,,1971,,,,,,,,,,,,,,0,1,,US
apd,Alexander Payne,director,m,,,1961,,,,,,,,,,,,,,2,2,,US
aps,Alexander Payne,screenplay,m,,,1961,,,,,,,,,,,,,,2,2,,US
arp,Adele Romanski,producer,f,,,1982,,,,,,,,,,,,,,1,0,,US
arpc,Arte,production_company,d,,,1991,,,,,,,,,,,,,,,,,EU
asa,Ashton Sanders,actor,m,,,1995,,,,,,,,,,,,,,0,0,,US
asc,Alan Silvestri,composer,m,,,1950,,,,,,,,,,,,,,0,0,,US
ass,Aaron Sorkin,screenplay,m,,,1961,,,,,,,,,,,,,,1,3,,US
avatar,Avatar - Aufbruch nach Pandora,movie,d,1,,2009,jcd,jcp,jcs,swa,zsa,swa1,jhc,20pc,lepc,depc,impc,wddc,"2,905",3,2,science-fiction,US
avengers,Avengers 1: The Avengers,movie,d,7,,2012,jwd,jwp,zps,rda,jra,sja,asc,mspc,,,,wddc,"1,519",0,0,action,US
avengers2,The Avengers : Age of Ultron,movie,d,11,,2015,jwd,kfp,jws,rda,cea,mra2,dec,mspc,wdpc,,,wddc,"1,4",0,0,action,US
avengers3,Avengers: Infinity War,movie,d,4,,2018,jrd,kfp,jks,rda,sja,jra,asc,mspc,wdpc,,,wddc,"2,048",0,0,science-fiction,US
avengers4,Avengers 4: Endgame,movie,d,2,,2019,jrd,slp,cms,rda,sja,jra,asc,wdpc,mspc,,,wddc,"2,798",0,0,action,EU
aga,Andrew Garfield,actor,m,,,1983,,,,,,,,,,,,,,0,1,,US
bba,Beau Bridges,actor,m,,,1941,,,,,,,,,,,,,,,2,,US
bbd,Brad Bird,director,m,,,1957,,,,,,,,,,,,,,2,0,,US
bbs,Brad Bird,screenplay,m,,,1957,,,,,,,,,,,,,,0,0,,US
bcd,Bill Condon,director,m,,,1955,,,,,,,,,,,,,,1,0,,US
beauty,Beauty and the beast,movie,d,17,,2017,bcd,dhp,scs,ewa,dsa,lea1,amc,wdpc,,,,wddc,"1,274",2,3,adventure,US
bfpc,Bedford Falls Productions,production_company,d,,,1985,,,,,,,,,,,,,,,,,US
bga,Brad Garrett,actor,m,,,1960,,,,,,,,,,,,,,0,0,,US
