from,to ,weight,ranking,country,year,type,oscar,globe
avatar,jcd,20,1,CA,1954,d,3,3
avatar,jcp,20,1,CA,1954,p,3,3
avatar,jcs,20,1,CA,1954,s,3,3
avatar,swa,20,1,AU,1976,a,,
avatar,zsa,20,1,US,1978,a,,
avatar,swa1,20,1,US,1949,a,,
avatar,jhc,20,1,US,1953,c,2,2
avatar,20pc,20,1,US,1935,pc,,
avatar,lepc,20,1,US,1990,pc,,
avatar,depc,20,1,US,2006,pc,,
avatar,impc,20,1,EU,1998,pc,,
avatar,wddc,20,1,US,1953,dc,,
avengers4,jrd,19,1,US,1971,d,,
avengers4,slp,19,1,US,1922,p,,
avengers4,cms,19,1,US,1970,s,,
avengers4,rda,19,1,US,1965,a,,3
avengers4,sja,19,1,US,1984,a,,
avengers4,jra,19,1,US,1971,a,,
avengers4,asc,19,1,US,1950,c,,
avengers4,wdpc,19,1,US,1923,pc,,
avengers4,mspc,19,1,US,1993,pc,,
avengers4,wddc,19,1,US,1953,dc,,
starwars,jad,18,1,US,1978,d,,
starwars,jap,18,1,US,1978,p,,
starwars,gls,18,1,US,1944,s,,
starwars,dra,18,1,US,1992,a,,
starwars,jba,18,1,US,1992,a,,
starwars,ada,18,1,US,1983,a,,
starwars,jwc,18,1,US,1932,w,5,4
starwars,wdpc,18,1,US,1953,pc,,
starwars,lfpc,18,1,US,1971,pc,,
starwars,brpc,18,1,US,1999,pc,,
starwars,wddc,18,1,US,1953,dc,,
avengers3,jrd,17,1,US,1971,d,,
avengers3,kfp,17,1,US,1973,p,,
avengers3,jks,17,1,US,1917,s,,
avengers3,rda,17,1,US,1965,a,,3
avengers3,sja,17,1,US,1984,a,,
avengers3,jra,17,1,US,1971,a,,
avengers3,asc,17,1,US,1950,c,,
avengers3,mspc,17,1,US,1953,pc,,
avengers3,wdpc,17,1,US,1953,pc,,
avengers3,wddc,17,1,US,1953,dc,,
jurassic,ctd,16,1,US,1976,d,,
jurassic,fmp,16,1,US,1946,p,,
jurassic,cts,16,1,US,1976,s,,
jurassic,cpa,16,1,US,1979,a,,
jurassic,bha,16,1,US,1981,a,,
jurassic,voa,16,1,US,1959,a,,
jurassic,mgc,16,1,US,1976,a,1,1
jurassic,aepc,16,1,US,1981,pc,,
jurassic,lppc,16,1,US,2000,pc,,
jurassic,kmpc,16,1,US,1991,pc,,
jurassic,updc,16,1,US,1912,pc,,
lion,jfd,15,1,US,1966,d,,
lion,jfp,15,1,US,1966,p,,
lion,jns,15,1,US,1965,s,,
lion,dga,15,1,US,1983,a,,
lion,sra,15,1,CA,1982,a,,
lion,cea1,15,1,EU,1977,a,,
lion,hzc,15,1,EU,1957,c,2,3
lion,wdpc,15,1,US,1953,pc,,
lion,fepc,15,1,US,1996,pc,,
lion,wddc,15,1,US,1953,dc,,
avengers,jwd,14,1,US,1964,d,,
avengers,jwp,14,1,US,1964,p,,
avengers,zps,14,1,US,1968,s,,
avengers,rda,14,1,US,1965,a,,3
avengers,jra,14,1,US,1971,a,,
avengers,sja,14,1,US,1984,a,,
avengers,asc,14,1,US,1950,c,,
avengers,mspc,14,1,US,1993,pc,,
avengers,wddc,14,1,US,1953,dc,,
furious,jwd2,13,1,A ,1977,d,,
furious,vdp,13,1,US,1967,p,,
