id,name,type,sex,ranking,ranking_money,ranking_critics,year,director,producer,screenplay,cast1,cast2,cast3,composer,production_company1,production_company2,production_company3,production_company4,distribution_company,box_office,oscar,globe,genre,country
20pc,20th Centuries Studios,pc,d,,,,1935,,,,,,,,,,,,,,,,,US
a2dc,A24,dc,d,,,,2012,,,,,,,,,,,,,,,,,US
a2pc,A24,pc,d,,,,2012,,,,,,,,,,,,,,,,,US
aba,Asa Butterfield,a,m,,,,1997,,,,,,,,,,,,,,,,,EU
acd,Alfonso Cuaron,d,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
acp,Alfonso Cuaron,p,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
acs,Alfonso Cuaron,s,m,,,,1961,,,,,,,,,,,,,,2,2,,SA
ada,Adam Driver,a,m,,,,1983,,,,,,,,,,,,,,0,0,,US
adc,Alexandre Desplat,c,m,,,,1961,,,,,,,,,,,,,,2,2,,EU
aea,Aaron Eckhart,a,m,,,,1968,,,,,,,,,,,,,,0,0,,US
aepc,Amblin Entertainment,pc,d,,,,1981,,,,,,,,,,,,,,,,,US
aha,Alex R. Hibbert,a,m,,,,2004,,,,,,,,,,,,,,0,0,,US
aha2,Armie Hammer,a,m,,,,1986,,,,,,,,,,,,,,0,0,,US
ahpc,Ad Hominem Enterprises,pc,d,,,,,,,,,,,,,,,,,,,,,US
ald,Ang Lee,d,m,,,,1954,,,,,,,,,,,,,,2,2,,A
ama,Anthony Mackie,a,m,,,,1978,,,,,,,,,,,,,,0,0,,US
amc,Alan Menken,c,m,,,,1949,,,,,,,,,,,,,,8,4,,US
apa,Amy Poehler,a,f,,,,1971,,,,,,,,,,,,,,0,1,,US
apd,Alexander Payne,d,m,,,,1961,,,,,,,,,,,,,,2,2,,US
aps,Alexander Payne,s,m,,,,1961,,,,,,,,,,,,,,2,2,,US
arp,Adele Romanski,p,f,,,,1982,,,,,,,,,,,,,,1,0,,US
arpc,Arte,pc,d,,,,1991,,,,,,,,,,,,,,,,,EU
asa,Ashton Sanders,a,m,,,,1995,,,,,,,,,,,,,,0,0,,US
asc,Alan Silvestri,c,m,,,,1950,,,,,,,,,,,,,,0,0,,US
ass,Aaron Sorkin,s,m,,,,1961,,,,,,,,,,,,,,1,3,,US
avatar,Avatar - Aufbruch nach Pandora,m,d,1,1,,2009,jcd,jcp,jcs,swa,zsa,swa1,jhc,20pc,lepc,depc,impc,wddc,"2,905",3,2,science-fiction,US
avengers,Avengers 1: The Avengers,m,d,1,7,,2012,jwd,jwp,zps,rda,jra,sja,asc,mspc,,,,wddc,"1,519",0,0,action,US
avengers2,The Avengers : Age of Ultron,m,d,1,11,,2015,jwd,kfp,jws,rda,cea,mra2,dec,mspc,wdpc,,,wddc,"1,4",0,0,action,US
